name,input_type,passed,reason_type,chain,cdr,positive_name,identity,threshold,details
HR-151,nanobody,false,high_cdr_identity,VH,CDRH1,151,1,0.8,CDRH1 identity to 151 is 1 >= 0.8
HR-151,nanobody,false,high_cdr_identity,VH,CDRH1,HR-151__parent_reference,1,0.8,CDRH1 identity to HR-151__parent_reference is 1 >= 0.8
HR-151,nanobody,false,high_cdr_identity,VH,CDRH1,HR-151-sim__parent_reference,1,0.8,CDRH1 identity to HR-151-sim__parent_reference is 1 >= 0.8
HR-151,nanobody,false,high_cdr_identity,VH,CDRH1,HR-151-diff__parent_reference,1,0.8,CDRH1 identity to HR-151-diff__parent_reference is 1 >= 0.8
HR-151,nanobody,false,high_cdr_identity,VH,CDRH2,151,1,0.8,CDRH2 identity to 151 is 1 >= 0.8
HR-151,nanobody,false,high_cdr_identity,VH,CDRH2,HR-151__parent_reference,1,0.8,CDRH2 identity to HR-151__parent_reference is 1 >= 0.8
HR-151,nanobody,false,high_cdr_identity,VH,CDRH2,HR-151-sim__parent_reference,1,0.8,CDRH2 identity to HR-151-sim__parent_reference is 1 >= 0.8
HR-151,nanobody,false,high_cdr_identity,VH,CDRH2,HR-151-diff__parent_reference,1,0.8,CDRH2 identity to HR-151-diff__parent_reference is 1 >= 0.8
HR-151,nanobody,false,high_cdr_identity,VH,CDRH3,151,1,0.8,CDRH3 identity to 151 is 1 >= 0.8
HR-151,nanobody,false,high_cdr_identity,VH,CDRH3,HR-151__parent_reference,1,0.8,CDRH3 identity to HR-151__parent_reference is 1 >= 0.8
HR-151,nanobody,false,high_cdr_identity,VH,CDRH3,HR-151-sim__parent_reference,1,0.8,CDRH3 identity to HR-151-sim__parent_reference is 1 >= 0.8
HR-151,nanobody,false,high_cdr_identity,VH,CDRH3,HR-151-diff__parent_reference,1,0.8,CDRH3 identity to HR-151-diff__parent_reference is 1 >= 0.8
Tab5,full_antibody,false,high_cdr_identity,VH,CDRH1,CPA.7.021,1,0.8,CDRH1 identity to CPA.7.021 is 1 >= 0.8
Tab5,full_antibody,false,high_cdr_identity,VH,CDRH2,CPA.7.021,1,0.8,CDRH2 identity to CPA.7.021 is 1 >= 0.8
Tab5,full_antibody,false,high_cdr_identity,VH,CDRH3,CPA.7.021,1,0.8,CDRH3 identity to CPA.7.021 is 1 >= 0.8
Tab5,full_antibody,false,high_cdr_identity,VL,CDRL1,CPA.7.021,1,0.8,CDRL1 identity to CPA.7.021 is 1 >= 0.8
Tab5,full_antibody,false,high_cdr_identity,VL,CDRL2,CPA.7.021,1,0.8,CDRL2 identity to CPA.7.021 is 1 >= 0.8
Tab5,full_antibody,false,high_cdr_identity,VL,CDRL3,CPA.7.021,1,0.8,CDRL3 identity to CPA.7.021 is 1 >= 0.8
HR-151-sim,nanobody,false,high_cdr_identity,VH,CDRH1,151,1,0.8,CDRH1 identity to 151 is 1 >= 0.8
HR-151-sim,nanobody,false,high_cdr_identity,VH,CDRH1,HR-151__parent_reference,1,0.8,CDRH1 identity to HR-151__parent_reference is 1 >= 0.8
HR-151-sim,nanobody,false,high_cdr_identity,VH,CDRH1,HR-151-sim__parent_reference,1,0.8,CDRH1 identity to HR-151-sim__parent_reference is 1 >= 0.8
HR-151-sim,nanobody,false,high_cdr_identity,VH,CDRH1,HR-151-diff__parent_reference,1,0.8,CDRH1 identity to HR-151-diff__parent_reference is 1 >= 0.8
HR-151-sim,nanobody,false,high_cdr_identity,VH,CDRH2,151,1,0.8,CDRH2 identity to 151 is 1 >= 0.8
HR-151-sim,nanobody,false,high_cdr_identity,VH,CDRH2,HR-151__parent_reference,1,0.8,CDRH2 identity to HR-151__parent_reference is 1 >= 0.8
HR-151-sim,nanobody,false,high_cdr_identity,VH,CDRH2,HR-151-sim__parent_reference,1,0.8,CDRH2 identity to HR-151-sim__parent_reference is 1 >= 0.8
HR-151-sim,nanobody,false,high_cdr_identity,VH,CDRH2,HR-151-diff__parent_reference,1,0.8,CDRH2 identity to HR-151-diff__parent_reference is 1 >= 0.8
HR-151-sim,nanobody,false,high_cdr_identity,VH,CDRH3,151,0.947368,0.8,CDRH3 identity to 151 is 0.947368 >= 0.8
HR-151-sim,nanobody,false,high_cdr_identity,VH,CDRH3,HR-151__parent_reference,0.947368,0.8,CDRH3 identity to HR-151__parent_reference is 0.947368 >= 0.8
HR-151-sim,nanobody,false,high_cdr_identity,VH,CDRH3,HR-151-sim__parent_reference,0.947368,0.8,CDRH3 identity to HR-151-sim__parent_reference is 0.947368 >= 0.8
HR-151-sim,nanobody,false,high_cdr_identity,VH,CDRH3,HR-151-diff__parent_reference,0.947368,0.8,CDRH3 identity to HR-151-diff__parent_reference is 0.947368 >= 0.8
